#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-07T21:53:24 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-07T21:53:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/92A/catalog&-source=VII/92A/catalog&-out=RA1950&-out=DE1950&-out=Diam&-out=Dist&-out=log.Age&-out=[Fe/H]&-out=E(B-V)&-out=Cname&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7092
#Name: VII/92A
#Title: Open Cluster Data 5th Edition (Lynga 1987)
#INFO	ivoid=ivo://cds.vizier/vii/92a	    IVOID of underlying data collection
#INFO	creator=LYNGA G.: 1987	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/92A	    Dataset landing page
#INFO	publication_date=2018-01-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_92A_catalog:
#Name: VII/92A/catalog
#Title: The Catalogue Data File
#Column	RA1950	(A7)	Right Ascension 1950	[ucd=pos.eq.ra]
#Column	DE1950	(A6)	Declination 1950	[ucd=pos.eq.dec]
#Column	Diam	(F6.1)	? Selected Angular diameter	[ucd=phys.angSize]
#Column	Dist	(I4)	? Distance	[ucd=pos.distance]
#Column	log.Age	(F5.2)	[6/10]? log(age), years	[ucd=arith.zp]
#Column	[Fe/H]	(F5.2)	[-.8/.3]? Metallicity, logarithmic scale	[ucd=instr.scale]
#Column	E(B-V)	(F6.2)	[0/2]? Reddening	[ucd=phot.color.excess]
#Column	Cname	(A9)	[C0-9+-] Cluster "C" designation (4)	[ucd=meta.id;meta.main]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
RA1950	DE1950	Diam	Dist	log.Age	[Fe/H]	E(B-V)	Cname	_RA.icrs	_DE.icrs
01 40.8	+60 27	   5.0	2100	 7.30	     	  0.58	C0140+604	01 44 13.0	+60 42 03
01 42.6	+61 00	  16.0	2200	 7.35	     	  0.78	C0142+610	01 46 03.0	+61 15 00
01 44.3	+62 41	   3.0	    	     	     	      	C0144+626	01 47 49.8	+62 55 57
01 44.3	+71 42	  36.0	 600	 8.18	     	  0.19	C0144+717	01 48 22.8	+71 56 56
01 47.3	+27 00	   5.0	    	     	     	      	C0147+270	01 50 07.4	+27 14 51
01 47.7	+60 50	   5.0	    	     	     	      	C0147+608	01 51 11.0	+61 04 50
01 49.0	+61 35	   4.5	3300	 9.20	     	  0.77	C0149+615	01 52 31.4	+61 49 47
01 49.4	+56 49	  20.0	    	     	     	      	C0149+568	01 52 45.6	+57 03 47
01 50.6	+62 07	   4.0	    	     	     	      	C0150+621	01 54 09.5	+62 21 44
01 51.6	+61 05	   7.0	    	     	     	      	C0151+610	01 55 07.5	+61 19 42
01 54.8	+37 26	  49.0	 400	 9.04	-0.21	  0.02	C0154+374	01 57 46.7	+37 40 36
01 55.1	+55 14	  11.0	1500	 7.59	     	  0.38	C0155+552	01 58 26.9	+55 28 35
01 55.2	+59 56	   5.0	    	     	     	      	C0155+599	01 58 42.4	+60 10 34
01 56.4	+75 20	   7.0	1490	     	     	  0.39	C0156+753	02 01 05.3	+75 34 30
01 58.4	+62 38	   3.0	    	     	     	      	C0158+626	02 02 02.7	+62 52 27
01 58.8	+62 01	   5.0	    	     	     	      	C0158+620	02 02 25.2	+62 15 26
02 00.8	+64 12	  14.0	    	     	     	      	C0200+642	02 04 32.6	+64 26 22
02 11.4	+59 02	  60.0	 320	 8.00	     	  0.42	C0211+590	02 14 59.2	+59 15 57
02 15.5	+56 55	  29.0	2200	 6.75	     	  0.54	C0215+569	02 19 01.8	+57 08 48
02 15.8	+63 31	   4.0	    	     	     	      	C0215+635	02 19 37.9	+63 44 46
02 17.1	+65 40	   4.0	    	     	     	      	C0217+656	02 21 04.5	+65 53 43
02 18.9	+56 53	  29.0	2300	 6.50	     	  0.54	C0218+568	02 22 27.0	+57 06 39
02 19.8	+63 38	  20.0	    	     	     	      	C0219+636	02 23 40.3	+63 51 36
02 25.1	+61 34	   2.5	    	     	     	      	C0225+615	02 28 53.9	+61 47 23
02 25.9	+60 26	   4.5	 485	 7.40	     	  0.52	C0225+604	02 29 38.8	+60 39 21
02 29.2	+44 26	   7.0	    	     	     	      	C0229+444	02 32 26.0	+44 39 13
02 28.9	+61 14	  21.0	2100	 6.12	     	  0.82	C0228+612	02 32 42.5	+61 27 13
02 29.3	+58 31	   6.0	2400	 6.00	     	  1.02	C0229+585	02 32 58.9	+58 44 12
02 29.9	+59 40	   5.0	    	     	     	      	C0229+596	02 33 38.3	+59 53 10
02 30.0	+57 19	  11.0	2200	 7.19	     	  0.75	C0230+573	02 33 38.1	+57 32 10
02 30.1	+59 58	   3.0	    	     	     	      	C0230+599	02 33 51.2	+60 11 10
02 32.1	+59 25	   7.0	    	     	     	      	C0232+594	02 35 50.4	+59 38 04
02 32.0	+58 47	   3.0	2200	 7.50	     	  0.83	C0232+587	02 35 42.6	+59 00 05
02 33.7	+55 46	  20.0	 600	 7.89	     	  0.30	C0233+557	02 37 17.6	+55 59 00
02 35.2	+60 12	   5.0	3300	 6.80	     	  1.09	C0235+602	02 38 59.9	+60 24 56
02 35.6	+54 43	   3.0	    	     	     	      	C0235+547	02 39 09.8	+54 55 55
02 38.8	+42 34	  35.0	 440	 8.29	-0.26	  0.04	C0238+425	02 42 01.4	+42 46 46
02 38.8	+61 20	  20.0	1000	 8.54	     	  0.32	C0238+613	02 42 40.9	+61 32 45
02 40.8	+62 08	   5.0	    	 6.00	     	      	C0240+621	02 44 44.5	+62 20 40
02 47.3	+60 14	  12.0	2200	 6.00	     	  0.63	C0247+602	02 51 10.7	+60 26 21
02 55.4	+60 12	  39.0	    	     	     	      	C0255+602	02 59 19.6	+60 23 57
02 57.0	+60 13	  24.0	    	     	     	      	C0257+602	03 00 56.2	+60 24 52
03 00.4	+58 34	   6.0	    	     	     	      	C0300+585	03 04 16.1	+58 45 41
03 02.5	+44 11	   1.5	    	     	     	      	C0302+441	03 05 50.6	+44 22 36
03 08.0	+53 09	   1.6	    	     	     	      	C0308+531	03 11 39.6	+53 20 17
03 07.6	+63 04	  23.0	    	     	     	      	C0307+630	03 11 47.0	+63 15 18
03 11.0	+52 32	   7.0	    	     	     	      	C0311+525	03 14 39.0	+52 43 08
03 11.2	+47 04	  10.0	2300	 9.04	 0.14	  0.27	C0311+470	03 14 39.5	+47 15 07
03 12.3	+59 51	  14.0	    	     	     	      	C0312+598	03 16 18.3	+60 02 03
03 13.0	+58 25	   6.0	    	     	     	      	C0313+584	03 16 55.7	+58 36 01
03 18.5	+48 26	 184.0	 170	 7.71	 0.10	  0.09	C0318+484	03 22 01.7	+48 36 43
03 19.5	+52 04	   3.0	    	     	     	      	C0319+520	03 23 09.9	+52 14 40
03 24.2	+56 17	   6.0	    	     	     	      	C0324+562	03 28 04.4	+56 27 23
03 27.1	+52 29	   9.0	    	     	     	      	C0327+524	03 30 48.7	+52 39 14
03 28.4	+37 10	  14.0	 550	 8.48	-0.13	  0.27	C0328+371	03 31 38.1	+37 20 10
03 09.3	-58 19	  45.0	 470	 9.70	     	  0.00	C0309-583	03 10 32.2	-58 07 42
03 30.2	+51 16	      	    	     	     	      	C0330+512	03 33 52.5	+51 26 03
03 34.8	+66 22	  12.0	    	     	     	      	C0334+663	03 39 26.2	+66 31 45
03 29.0	+52 32	   5.0	    	     	     	      	C0329+525	03 32 43.3	+52 42 07
05 49.1	+32 32	  23.0	1350	 8.48	 0.01	  0.32	C0549+325	05 52 22.3	+32 32 40
03 41.4	+32 08	   7.0	 390	 8.10	     	  0.38	C0341+321	03 44 32.5	+32 17 24
03 44.0	+23 58	 109.0	 125	 7.89	 0.11	  0.05	C0344+239	03 46 58.6	+24 07 15
03 43.7	+58 54	  17.0	1800	     	     	      	C0343+589	03 47 48.3	+59 03 14
03 45.6	+52 31	   4.0	1000	 7.40	     	  0.71	C0345+525	03 49 22.9	+52 40 08
03 48.1	+61 51	   5.0	    	     	     	      	C0348+618	03 52 25.5	+61 59 57
03 55.2	+51 39	   5.0	    	     	     	      	C0355+516	03 58 58.5	+51 47 32
04 00.6	+52 29	   6.0	    	     	     	      	C0400+524	04 04 25.8	+52 37 11
04 03.5	+27 18	  12.0	    	     	     	      	C0403+273	04 06 34.1	+27 26 02
04 03.3	+62 12	   7.0	 950	 7.30	     	  0.71	C0403+622	04 07 43.3	+62 20 00
04 06.3	+49 23	   9.0	 820	 8.63	     	  0.57	C0406+493	04 10 00.7	+49 30 50
04 11.6	+51 07	  23.0	 800	 8.43	-0.10	  0.29	C0411+511	04 15 24.0	+51 14 29
04 14.8	+58 11	   6.0	    	 9.10	     	      	C0414+581	04 18 58.9	+58 18 16
04 24.0	+15 45	 329.0	  48	 8.82	 0.12	  0.00	C0424+157	04 26 51.1	+15 51 42
04 17.0	+44 48	   5.0	2200	 7.48	     	      	C0417+448	04 20 33.8	+44 55 08
04 17.1	+50 08	  18.0	 800	 8.29	     	  0.34	C0417+501	04 20 52.2	+50 15 07
04 24.8	+30 49	  10.0	    	     	     	      	C0424+308	04 27 58.4	+30 55 38
04 28.5	+43 45	  37.0	    	     	     	  0.35	C0428+437	04 32 03.0	+43 51 22
04 31.4	+45 09	   5.0	2800	 8.10	     	  1.17	C0431+451	04 35 00.3	+45 15 10
04 34.3	+50 39	   7.0	    	     	     	      	C0434+506	04 38 08.0	+50 44 58
04 36.6	+50 21	   1.9	    	     	     	      	C0436+503	04 40 25.4	+50 26 49
04 41.0	+41 58	  12.0	3200	     	     	  0.80	C0441+419	04 44 30.5	+42 03 31
04 41.1	+42 35	   6.0	    	     	     	      	C0441+425	04 44 37.8	+42 40 31
04 43.1	+18 59	  45.0	 550	 8.33	     	  0.37	C0443+189	04 46 01.5	+19 04 24
04 42.9	+44 39	   3.0	5500	     	     	  0.87	C0442+446	04 46 30.3	+44 44 23
04 45.7	+10 51	  20.0	 400	 8.48	-0.20	  0.32	C0445+108	04 48 28.0	+10 56 14
04 45.8	+13 04	      	    	     	     	      	C0445+130	04 48 36.5	+13 09 13
04 47.5	+43 37	  18.0	1200	 8.48	     	  0.24	C0447+436	04 51 04.5	+43 42 04
04 51.6	+52 40	   7.0	    	     	     	      	C0451+526	04 55 33.8	+52 44 46
04 53.9	+28 42	  18.0	    	     	     	      	C0453+287	04 57 02.9	+28 46 38
04 56.6	+43 24	   9.0	    	     	     	      	C0456+434	05 00 10.7	+43 28 26
04 58.7	+44 23	   9.0	    	     	     	      	C0458+443	05 02 19.0	+44 27 17
05 00.6	+23 45	  41.0	 420	     	     	      	C0500+237	05 03 38.3	+23 49 10
05 01.4	+23 43	      	    	     	     	      	C0501+237	05 04 26.2	+23 47 07
05 04.7	+36 59	   6.0	1350	 8.20	     	  0.31	C0504+369	05 08 04.7	+37 02 52
05 05.0	+39 01	   1.5	    	     	     	      	C0505+390	05 08 26.5	+39 04 51
05 07.8	+16 28	  17.0	    	     	     	  0.19	C0507+164	05 10 41.0	+16 31 40
05 08.1	+47 34	   5.0	    	     	     	      	C0508+475	05 11 51.2	+47 37 37
05 09.2	+16 38	  15.0	1750	 8.90	-0.26	  0.33	C0509+166	05 12 05.3	+16 41 34
05 11.3	+32 40	  12.0	    	     	     	      	C0511+326	05 14 33.7	+32 43 24
05 16.6	+39 25	  18.0	    	     	     	      	C0516+394	05 20 03.8	+39 28 01
05 16.7	+39 18	   5.0	1900	     	     	  0.38	C0516+393	05 20 09.6	+39 21 01
05 17.4	+30 33	  13.0	    	     	     	      	C0517+305	05 20 36.6	+30 35 58
05 19.0	+40 57	  28.0	    	     	     	      	C0519+409	05 22 30.9	+40 59 51
05 18.5	+45 21	  20.0	    	     	     	      	C0518+453	05 22 10.4	+45 23 53
05 16.2	+73 14	 120.0	    	     	     	      	C0516+732	05 22 24.3	+73 16 57
05 19.4	+33 21	  11.0	4000	 6.00	     	  0.54	C0519+333	05 22 41.1	+33 23 50
05 21.0	+08 08	  23.0	    	     	     	      	C0521+081	05 23 43.2	+08 10 44
05 20.4	+11 25	  12.0	    	     	     	      	C0521+114	05 23 11.1	+11 27 46
05 20.8	+33 15	  12.0	    	     	     	      	C0520+332	05 24 05.0	+33 17 43
05 20.9	+29 33	   6.0	4000	 9.48	-0.50	      	C0520+295	05 24 05.1	+29 35 43
05 21.3	+32 36	   5.0	    	     	     	      	C0521+326	05 24 33.9	+32 38 41
05 22.2	+41 51	  12.0	    	     	     	      	C0522+418	05 25 44.9	+41 53 37
05 23.0	+16 03	 219.0	    	     	     	      	C0523+160	05 25 52.8	+16 05 35
05 22.2	+46 30	   2.5	    	     	     	      	C0522+465	05 25 55.3	+46 32 36
05 23.1	+35 57	   9.0	    	     	     	      	C0523+359	05 26 27.7	+35 59 33
05 24.7	+07 02	  12.0	    	     	     	      	C0524+070	05 27 23.9	+07 04 28
05 24.3	+34 23	   5.0	    	     	     	      	C0524+343	05 27 37.0	+34 25 28
05 24.7	+35 17	   6.0	1380	 8.64	-0.10	  0.45	C0524+352	05 28 02.5	+35 19 26
05 25.3	+33 45	  12.0	    	     	     	      	C0525+337	05 28 35.9	+33 47 24
05 25.3	+35 48	  21.0	1320	 8.35	-0.11	  0.23	C0525+358	05 28 39.5	+35 50 24
05 28.1	+34 13	   1.0	    	     	     	      	C0528+342	05 31 24.8	+34 15 12
05 30.4	+00 11	   3.0	    	     	     	      	C0530+001	05 32 58.0	+00 13 04
05 30.6	+26 27	  14.0	    	     	     	      	C0530+264	05 33 42.8	+26 29 01
05 32.3	+09 54	  64.0	 500	     	     	  0.09	C0532+099	05 35 03.3	+09 55 55
05 33.0	-01 07	 149.0	 430	     	     	      	C0533-011	05 35 32.5	-01 05 08
05 32.7	-04 27	  24.0	 400	     	     	      	C0532-044	05 35 10.6	-04 25 06
05 32.9	-05 24	  47.0	 450	 7.40	     	      	C0532-054	05 35 21.5	-05 22 07
05 32.9	-05 57	  13.0	    	     	     	      	C0532-059	05 35 20.8	-05 55 07
05 32.8	+25 55	  28.0	    	     	     	      	C0532+259	05 35 54.0	+25 56 52
05 32.8	+34 06	  12.0	1270	 7.40	     	  0.21	C0532+341	05 36 06.7	+34 07 51
05 35.6	+37 54	  24.0	    	     	     	      	C0535+379	05 39 01.5	+37 55 39
05 38.0	+32 22	   5.0	    	     	     	      	C0538+323	05 41 15.9	+32 23 29
05 45.3	+30 12	   7.0	5900	 7.10	     	  0.64	C0545+302	05 48 30.6	+30 12 57
05 45.8	+07 23	   3.0	    	     	     	      	C0545+073	05 48 30.4	+07 23 56
05 46.1	+33 37	   7.0	3500	 8.90	-0.50	  0.83	C0546+336	05 49 24.1	+33 37 54
05 46.5	+28 55	   5.0	    	     	     	      	C0546+289	05 49 40.6	+28 55 52
05 47.3	+22 11	   5.0	    	     	     	      	C0547+221	05 50 19.0	+22 11 49
05 48.7	+21 46	   6.0	   0	 7.48	     	      	C0548+217	05 51 42.4	+21 46 43
05 52.2	+20 52	   5.0	    	     	     	      	C0552+208	05 55 11.2	+20 52 28
05 55.7	+07 50	   2.0	    	     	     	      	C0555+078	05 58 24.9	+07 50 13
05 59.1	+49 54	   6.0	1400	     	     	  0.77	C0559+499	06 02 59.1	+49 53 55
06 00.3	+10 26	  10.0	4400	 9.60	-0.46	      	C0600+104	06 03 04.0	+10 25 53
06 01.9	+24 00	   6.0	2000	 8.00	     	  0.55	C0601+240	06 04 57.5	+23 59 45
06 04.4	+24 06	   5.0	4900	 9.04	-0.60	  0.41	C0604+241	06 07 27.6	+24 05 34
06 05.6	+13 58	   6.0	1100	 7.70	     	  0.12	C0605+139	06 08 26.3	+13 57 29
06 05.8	+24 21	  28.0	 870	 8.03	     	  0.22	C0605+243	06 08 52.0	+24 20 28
06 06.8	+20 20	  18.0	1950	 6.00	     	  0.38	C0606+203	06 09 46.5	+20 19 24
06 09.5	+05 28	   4.0	1800	 8.30	     	  0.30	C0609+054	06 12 10.1	+05 27 13
06 10.4	+07 00	   6.0	    	     	     	      	C0610+070	06 13 05.9	+06 59 09
06 11.0	+12 49	  10.0	1600	 8.90	     	      	C0611+128	06 13 48.9	+12 48 06
06 11.7	+39 52	   5.0	    	     	     	      	C0611+398	06 15 11.4	+39 51 01
06 13.5	-18 37	  12.0	3100	 9.48	-0.58	      	C0613-186	06 15 41.3	-18 38 04
06 15.0	+23 39	  35.0	1300	     	     	  0.58	C0615+236	06 18 02.9	+23 37 48
06 18.6	-07 15	  11.0	1000	 8.55	     	  0.31	C0618-072	06 21 01.3	-07 16 26
06 19.1	+02 23	  17.0	    	     	     	      	C0619+023	06 21 42.5	+02 21 31
06 19.6	-06 18	   3.0	    	     	     	      	C0619-063	06 22 02.4	-06 19 31
06 20.2	+05 09	  11.0	    	     	     	      	C0620+051	06 22 51.7	+05 07 26
06 20.6	+04 41	  18.0	    	     	     	      	C0620+046	06 23 15.2	+04 39 24
06 24.1	-04 42	  29.0	 400	 7.35	-0.20	  0.00	C0624-047	06 26 34.3	-04 43 51
06 27.0	+06 52	   6.0	3400	 9.10	     	  0.44	C0627+068	06 29 41.7	+06 49 56
06 27.9	-31 14	   5.0	3580	 9.78	-0.55	  0.00	C0627-312	06 29 47.5	-31 16 06
06 27.7	+02 54	   7.0	1100	 7.40	     	  0.46	C0627+029	06 30 19.1	+02 51 54
06 27.7	+09 58	  19.0	    	     	     	      	C0627+099	06 30 27.4	+09 55 53
06 28.3	-04 10	   5.0	    	     	     	      	C0628-041	06 30 46.9	-04 12 09
06 28.3	+04 59	  15.0	    	     	     	      	C0628+049	06 30 57.5	+04 56 51
06 28.6	+05 57	  21.0	    	     	     	      	C0628+059	06 31 16.6	+05 54 49
06 29.7	+04 54	  23.0	1700	 6.48	     	  0.45	C0629+049	06 32 21.4	+04 51 45
06 30.3	-04 59	   7.0	    	     	     	      	C0630-050	06 32 45.9	-05 01 17
06 30.5	+20 35	   4.0	    	     	     	      	C0630+205	06 33 28.6	+20 32 41
06 32.0	+08 24	  10.0	1550	 8.48	     	  0.23	C0632+084	06 34 43.5	+08 21 35
06 32.3	+05 25	  20.0	    	     	     	      	C0632+054	06 34 58.0	+05 22 33
06 33.3	+07 43	   4.0	2200	 8.80	     	  0.39	C0633+077	06 36 00.7	+07 40 29
06 33.8	+04 52	  21.0	    	     	     	      	C0633+048	06 36 27.3	+04 49 27
06 34.1	-14 07	  11.0	    	     	     	      	C0634-141	06 36 23.1	-14 09 33
06 52.1	+18 05	   5.0	    	     	     	      	C0652+180	06 55 00.9	+18 01 08
06 34.0	+09 29	   7.0	2400	 9.10	     	  0.67	C0634+094	06 36 44.7	+09 26 26
06 34.4	+03 07	      	1700	 7.40	     	  0.70	C0634+031	06 37 01.3	+03 04 24
06 34.4	+06 00	  45.0	    	     	     	      	C0634+060	06 37 04.6	+05 57 24
06 35.0	+04 47	  35.0	1700	     	     	  0.48	C0635+047	06 37 39.2	+04 44 22
06 35.2	-00 52	  10.0	    	     	     	      	C0635-008	06 37 44.7	-00 54 39
06 35.8	+01 14	   3.5	    	     	     	      	C0635+012	06 38 23.1	+01 11 19
06 35.8	+02 04	  12.0	    	     	     	      	C0635+020	06 38 24.1	+02 01 18
06 35.8	+10 56	   4.5	    	     	     	      	C0635+109	06 38 34.4	+10 53 18
06 36.0	+06 57	   3.2	    	     	     	      	C0636+069	06 38 41.7	+06 54 17
06 38.3	+09 56	  20.0	 750	 7.30	-0.15	  0.06	C0638+099	06 41 03.2	+09 53 07
06 38.8	-16 27	   6.0	    	     	     	      	C0638-164	06 41 02.3	-16 29 54
